,node,centrality,community,density
18183,22153,2,9,0.004683003556937816
18226,21058,2,9,0.004683003556937816
18487,31406,2,9,0.004683003556937816
18561,2716,2,9,0.004683003556937816
18890,2889,2,9,0.004683003556937816
19057,24191,2,9,0.004683003556937816
19065,2950,2,9,0.004683003556937816
19440,3137,2,9,0.004683003556937816
19491,30999,2,9,0.004683003556937816
19525,24057,2,9,0.004683003556937816
19657,26023,2,9,0.004683003556937816
19999,3346,2,9,0.004683003556937816
20332,37131,2,9,0.004683003556937816
20600,27972,2,9,0.004683003556937816
20640,18108,2,9,0.004683003556937816
20649,3629,2,9,0.004683003556937816
20754,7661,2,9,0.004683003556937816
21009,32426,2,9,0.004683003556937816
21163,19541,2,9,0.004683003556937816
21167,29661,2,9,0.004683003556937816
21168,15859,2,9,0.004683003556937816
21250,33916,2,9,0.004683003556937816
21436,32786,2,9,0.004683003556937816
21574,28324,2,9,0.004683003556937816
21861,28628,2,9,0.004683003556937816
21888,4226,2,9,0.004683003556937816
22013,19011,2,9,0.004683003556937816
22113,26307,2,9,0.004683003556937816
22225,4372,2,9,0.004683003556937816
22366,35315,2,9,0.004683003556937816
22460,4491,2,9,0.004683003556937816
22603,13631,2,9,0.004683003556937816
22724,4685,2,9,0.004683003556937816
22744,3639,2,9,0.004683003556937816
22784,33852,2,9,0.004683003556937816
22903,37618,2,9,0.004683003556937816
22910,15067,2,9,0.004683003556937816
23142,4939,2,9,0.004683003556937816
23289,31865,2,9,0.004683003556937816
23337,5060,2,9,0.004683003556937816
23376,5065,2,9,0.004683003556937816
23400,5088,2,9,0.004683003556937816
23520,18085,2,9,0.004683003556937816
23706,31628,2,9,0.004683003556937816
23732,25336,2,9,0.004683003556937816
23778,33300,2,9,0.004683003556937816
23798,28845,2,9,0.004683003556937816
23907,15841,2,9,0.004683003556937816
24074,25639,2,9,0.004683003556937816
24136,5531,2,9,0.004683003556937816
24153,26101,2,9,0.004683003556937816
24161,34064,2,9,0.004683003556937816
24246,20143,2,9,0.004683003556937816
25373,21152,2,9,0.004683003556937816
25539,8126,2,9,0.004683003556937816
25543,17261,2,9,0.004683003556937816
25620,10476,2,9,0.004683003556937816
25686,24015,2,9,0.004683003556937816
25690,11853,2,9,0.004683003556937816
25720,10049,2,9,0.004683003556937816
25815,24850,2,9,0.004683003556937816
25817,12139,2,9,0.004683003556937816
25986,37613,2,9,0.004683003556937816
26005,6499,2,9,0.004683003556937816
26425,15852,2,9,0.004683003556937816
26461,6768,2,9,0.004683003556937816
26910,32203,2,9,0.004683003556937816
26989,35190,2,9,0.004683003556937816
27207,16634,2,9,0.004683003556937816
27314,35710,2,9,0.004683003556937816
27396,23093,2,9,0.004683003556937816
27434,32455,2,9,0.004683003556937816
27632,6697,2,9,0.004683003556937816
27727,30754,2,9,0.004683003556937816
27758,9807,2,9,0.004683003556937816
27951,3381,2,9,0.004683003556937816
28046,7945,2,9,0.004683003556937816
28096,29768,2,9,0.004683003556937816
28099,36067,2,9,0.004683003556937816
28109,9291,2,9,0.004683003556937816
28163,8060,2,9,0.004683003556937816
28241,33163,2,9,0.004683003556937816
28314,8248,2,9,0.004683003556937816
28323,8267,2,9,0.004683003556937816
28326,8272,2,9,0.004683003556937816
28335,37089,2,9,0.004683003556937816
28389,20706,2,9,0.004683003556937816
28407,36434,2,9,0.004683003556937816
28855,8688,2,9,0.004683003556937816
28865,15628,2,9,0.004683003556937816
28916,8763,2,9,0.004683003556937816
29142,35166,2,9,0.004683003556937816
29164,20407,2,9,0.004683003556937816
29211,14329,2,9,0.004683003556937816
29341,32405,2,9,0.004683003556937816
29539,9300,2,9,0.004683003556937816
29646,9427,2,9,0.004683003556937816
29861,16076,2,9,0.004683003556937816
30034,9828,2,9,0.004683003556937816
30465,20140,2,9,0.004683003556937816
30605,12572,2,9,0.004683003556937816
30606,18771,2,9,0.004683003556937816
30634,37156,2,9,0.004683003556937816
30725,24726,2,9,0.004683003556937816
30760,36139,2,9,0.004683003556937816
30922,10674,2,9,0.004683003556937816
31002,10773,2,9,0.004683003556937816
31029,15796,2,9,0.004683003556937816
31061,10857,2,9,0.004683003556937816
31301,29177,2,9,0.004683003556937816
31584,27434,2,9,0.004683003556937816
31695,11728,2,9,0.004683003556937816
31699,16979,2,9,0.004683003556937816
31775,11687,2,9,0.004683003556937816
31848,11781,2,9,0.004683003556937816
31898,29796,2,9,0.004683003556937816
31924,34131,2,9,0.004683003556937816
32000,33150,2,9,0.004683003556937816
32028,12048,2,9,0.004683003556937816
32029,12458,2,9,0.004683003556937816
32030,13002,2,9,0.004683003556937816
32062,24865,2,9,0.004683003556937816
32063,12094,2,9,0.004683003556937816
32064,21154,2,9,0.004683003556937816
32105,13846,2,9,0.004683003556937816
32243,12361,2,9,0.004683003556937816
32256,21835,2,9,0.004683003556937816
32264,35465,2,9,0.004683003556937816
32444,16891,2,9,0.004683003556937816
32463,28026,2,9,0.004683003556937816
32472,19811,2,9,0.004683003556937816
32592,32826,2,9,0.004683003556937816
32603,31144,2,9,0.004683003556937816
32607,26633,2,9,0.004683003556937816
32843,13533,2,9,0.004683003556937816
32872,13592,2,9,0.004683003556937816
33217,33126,2,9,0.004683003556937816
33348,24429,2,9,0.004683003556937816
33460,32673,2,9,0.004683003556937816
33552,14582,2,9,0.004683003556937816
33555,14588,2,9,0.004683003556937816
33709,14917,2,9,0.004683003556937816
33710,29171,2,9,0.004683003556937816
33879,18157,2,9,0.004683003556937816
34000,20418,2,9,0.004683003556937816
34019,26935,2,9,0.004683003556937816
34062,1733,2,9,0.004683003556937816
34084,17301,2,9,0.004683003556937816
34104,24849,2,9,0.004683003556937816
34277,30748,2,9,0.004683003556937816
34375,35697,2,9,0.004683003556937816
34398,16450,2,9,0.004683003556937816
34436,16601,2,9,0.004683003556937816
34442,16625,2,9,0.004683003556937816
34690,14415,2,9,0.004683003556937816
34783,17559,2,9,0.004683003556937816
34819,12667,2,9,0.004683003556937816
34820,31763,2,9,0.004683003556937816
34842,22909,2,9,0.004683003556937816
34925,26187,2,9,0.004683003556937816
34928,17986,2,9,0.004683003556937816
34936,18016,2,9,0.004683003556937816
34959,29524,2,9,0.004683003556937816
34998,18217,2,9,0.004683003556937816
35152,22784,2,9,0.004683003556937816
35156,20115,2,9,0.004683003556937816
35322,24063,2,9,0.004683003556937816
35399,30021,2,9,0.004683003556937816
35456,19321,2,9,0.004683003556937816
35475,33271,2,9,0.004683003556937816
35523,19588,2,9,0.004683003556937816
35584,27411,2,9,0.004683003556937816
35592,19871,2,9,0.004683003556937816
35789,35327,2,9,0.004683003556937816
35900,21031,2,9,0.004683003556937816
35916,21120,2,9,0.004683003556937816
35978,36638,2,9,0.004683003556937816
35980,24435,2,9,0.004683003556937816
36006,6034,2,9,0.004683003556937816
36010,33004,2,9,0.004683003556937816
36091,6159,2,9,0.004683003556937816
36134,33584,2,9,0.004683003556937816
36154,32074,2,9,0.004683003556937816
36225,14964,2,9,0.004683003556937816
36280,35934,2,9,0.004683003556937816
36339,23074,2,9,0.004683003556937816
36448,9974,2,9,0.004683003556937816
36459,25304,2,9,0.004683003556937816
36486,24708,2,9,0.004683003556937816
36602,35651,2,9,0.004683003556937816
36636,16427,2,9,0.004683003556937816
36637,23475,2,9,0.004683003556937816
36731,25506,2,9,0.004683003556937816
36733,32083,2,9,0.004683003556937816
36734,35584,2,9,0.004683003556937816
36736,33809,2,9,0.004683003556937816
36829,36467,2,9,0.004683003556937816
36981,3944,2,9,0.004683003556937816
37172,35545,2,9,0.004683003556937816
37199,28745,2,9,0.004683003556937816
37392,36222,2,9,0.004683003556937816
852,71,3,9,0.004683003556937816
1166,8459,3,9,0.004683003556937816
1503,142,3,9,0.004683003556937816
1695,21840,3,9,0.004683003556937816
2232,18747,3,9,0.004683003556937816
2615,21637,3,9,0.004683003556937816
2800,322,3,9,0.004683003556937816
3029,3645,3,9,0.004683003556937816
5002,15874,3,9,0.004683003556937816
5584,28221,3,9,0.004683003556937816
6001,10318,3,9,0.004683003556937816
6291,34661,3,9,0.004683003556937816
6638,6618,3,9,0.004683003556937816
6658,12086,3,9,0.004683003556937816
6687,11644,3,9,0.004683003556937816
6808,14736,3,9,0.004683003556937816
8739,1111,3,9,0.004683003556937816
9068,1165,3,9,0.004683003556937816
10400,28069,3,9,0.004683003556937816
11458,33798,3,9,0.004683003556937816
12349,9267,3,9,0.004683003556937816
13243,6851,3,9,0.004683003556937816
13833,8230,3,9,0.004683003556937816
14527,1577,3,9,0.004683003556937816
14563,18122,3,9,0.004683003556937816
14567,35500,3,9,0.004683003556937816
14585,5213,3,9,0.004683003556937816
14588,4618,3,9,0.004683003556937816
14590,23359,3,9,0.004683003556937816
14591,31775,3,9,0.004683003556937816
14597,33050,3,9,0.004683003556937816
14611,36765,3,9,0.004683003556937816
14728,3555,3,9,0.004683003556937816
14749,18819,3,9,0.004683003556937816
14750,19989,3,9,0.004683003556937816
15492,16541,3,9,0.004683003556937816
15514,26605,3,9,0.004683003556937816
15822,1956,3,9,0.004683003556937816
16057,2052,3,9,0.004683003556937816
16309,19417,3,9,0.004683003556937816
16377,12863,3,9,0.004683003556937816
16604,18905,3,9,0.004683003556937816
16605,18011,3,9,0.004683003556937816
17023,9953,3,9,0.004683003556937816
17395,32519,3,9,0.004683003556937816
17969,2946,3,9,0.004683003556937816
17980,2523,3,9,0.004683003556937816
17996,2530,3,9,0.004683003556937816
18430,2664,3,9,0.004683003556937816
18516,23885,3,9,0.004683003556937816
18688,2781,3,9,0.004683003556937816
19000,17774,3,9,0.004683003556937816
19129,5274,3,9,0.004683003556937816
19591,10172,3,9,0.004683003556937816
19714,32442,3,9,0.004683003556937816
19872,3261,3,9,0.004683003556937816
20157,31541,3,9,0.004683003556937816
20176,3415,3,9,0.004683003556937816
20331,3487,3,9,0.004683003556937816
20423,25738,3,9,0.004683003556937816
20637,17180,3,9,0.004683003556937816
20643,32864,3,9,0.004683003556937816
20753,30362,3,9,0.004683003556937816
21166,17248,3,9,0.004683003556937816
21210,18963,3,9,0.004683003556937816
21254,17045,3,9,0.004683003556937816
21256,33761,3,9,0.004683003556937816
21325,33967,3,9,0.004683003556937816
21457,22633,3,9,0.004683003556937816
21889,10964,3,9,0.004683003556937816
21999,18683,3,9,0.004683003556937816
22006,23288,3,9,0.004683003556937816
22163,24914,3,9,0.004683003556937816
22239,16626,3,9,0.004683003556937816
22325,7900,3,9,0.004683003556937816
22489,32400,3,9,0.004683003556937816
22644,4617,3,9,0.004683003556937816
22783,17184,3,9,0.004683003556937816
22785,12941,3,9,0.004683003556937816
23401,28828,3,9,0.004683003556937816
23594,24715,3,9,0.004683003556937816
23619,16829,3,9,0.004683003556937816
23784,21073,3,9,0.004683003556937816
23827,33653,3,9,0.004683003556937816
24054,32270,3,9,0.004683003556937816
24157,27545,3,9,0.004683003556937816
24158,14074,3,9,0.004683003556937816
24450,33364,3,9,0.004683003556937816
24603,16836,3,9,0.004683003556937816
24606,13406,3,9,0.004683003556937816
25371,7524,3,9,0.004683003556937816
25663,12566,3,9,0.004683003556937816
26172,36290,3,9,0.004683003556937816
26294,6654,3,9,0.004683003556937816
26356,30854,3,9,0.004683003556937816
26506,35378,3,9,0.004683003556937816
26736,7008,3,9,0.004683003556937816
26884,3175,3,9,0.004683003556937816
26992,27936,3,9,0.004683003556937816
26996,11915,3,9,0.004683003556937816
27544,24418,3,9,0.004683003556937816
27578,31895,3,9,0.004683003556937816
27714,7651,3,9,0.004683003556937816
27729,9422,3,9,0.004683003556937816
27839,28360,3,9,0.004683003556937816
27865,36017,3,9,0.004683003556937816
28098,24455,3,9,0.004683003556937816
28252,33168,3,9,0.004683003556937816
28258,8171,3,9,0.004683003556937816
28324,8268,3,9,0.004683003556937816
28499,36117,3,9,0.004683003556937816
28696,34412,3,9,0.004683003556937816
28752,12962,3,9,0.004683003556937816
28762,19750,3,9,0.004683003556937816
29522,9272,3,9,0.004683003556937816
29523,11181,3,9,0.004683003556937816
29625,35527,3,9,0.004683003556937816
29773,9617,3,9,0.004683003556937816
30321,30441,3,9,0.004683003556937816
30394,10079,3,9,0.004683003556937816
30533,10233,3,9,0.004683003556937816
30560,36603,3,9,0.004683003556937816
30610,18820,3,9,0.004683003556937816
30673,31562,3,9,0.004683003556937816
30738,30039,3,9,0.004683003556937816
30881,11546,3,9,0.004683003556937816
30952,14050,3,9,0.004683003556937816
31286,11061,3,9,0.004683003556937816
31633,20216,3,9,0.004683003556937816
31698,14096,3,9,0.004683003556937816
31701,26370,3,9,0.004683003556937816
31755,22240,3,9,0.004683003556937816
31776,2492,3,9,0.004683003556937816
31903,11827,3,9,0.004683003556937816
31923,17918,3,9,0.004683003556937816
31956,12175,3,9,0.004683003556937816
32390,12607,3,9,0.004683003556937816
32462,12763,3,9,0.004683003556937816
32496,12845,3,9,0.004683003556937816
32536,32792,3,9,0.004683003556937816
32693,13220,3,9,0.004683003556937816
32847,17693,3,9,0.004683003556937816
32913,23180,3,9,0.004683003556937816
33369,23859,3,9,0.004683003556937816
33423,37113,3,9,0.004683003556937816
33581,18010,3,9,0.004683003556937816
33582,23361,3,9,0.004683003556937816
33616,14709,3,9,0.004683003556937816
33677,37698,3,9,0.004683003556937816
33683,33178,3,9,0.004683003556937816
33692,14868,3,9,0.004683003556937816
33797,35883,3,9,0.004683003556937816
34201,26602,3,9,0.004683003556937816
34579,16984,3,9,0.004683003556937816
34676,37098,3,9,0.004683003556937816
34753,35336,3,9,0.004683003556937816
34894,18505,3,9,0.004683003556937816
34931,33484,3,9,0.004683003556937816
35036,34258,3,9,0.004683003556937816
35153,29872,3,9,0.004683003556937816
35160,20457,3,9,0.004683003556937816
35387,1662,3,9,0.004683003556937816
35534,19622,3,9,0.004683003556937816
35664,27301,3,9,0.004683003556937816
36020,21490,3,9,0.004683003556937816
36108,34958,3,9,0.004683003556937816
37159,28245,3,9,0.004683003556937816
173,20,4,9,0.004683003556937816
547,14266,4,9,0.004683003556937816
1513,145,4,9,0.004683003556937816
2229,233,4,9,0.004683003556937816
3560,431,4,9,0.004683003556937816
3685,3019,4,9,0.004683003556937816
5007,632,4,9,0.004683003556937816
5157,13317,4,9,0.004683003556937816
5776,5574,4,9,0.004683003556937816
6240,833,4,9,0.004683003556937816
6704,18450,4,9,0.004683003556937816
6770,21472,4,9,0.004683003556937816
6814,20272,4,9,0.004683003556937816
6825,10724,4,9,0.004683003556937816
6826,28733,4,9,0.004683003556937816
6841,22807,4,9,0.004683003556937816
7962,34193,4,9,0.004683003556937816
8086,35769,4,9,0.004683003556937816
9783,17749,4,9,0.004683003556937816
10089,1387,4,9,0.004683003556937816
11299,12459,4,9,0.004683003556937816
11923,31575,4,9,0.004683003556937816
13364,7147,4,9,0.004683003556937816
14532,31601,4,9,0.004683003556937816
14545,2615,4,9,0.004683003556937816
14559,19546,4,9,0.004683003556937816
14589,31137,4,9,0.004683003556937816
14604,36576,4,9,0.004683003556937816
14621,6431,4,9,0.004683003556937816
14670,34846,4,9,0.004683003556937816
14676,21481,4,9,0.004683003556937816
14734,1604,4,9,0.004683003556937816
15250,10032,4,9,0.004683003556937816
15277,34773,4,9,0.004683003556937816
15359,1793,4,9,0.004683003556937816
15431,24077,4,9,0.004683003556937816
15989,9621,4,9,0.004683003556937816
19296,3055,4,9,0.004683003556937816
19297,4965,4,9,0.004683003556937816
20322,15016,4,9,0.004683003556937816
20636,17923,4,9,0.004683003556937816
20999,3833,4,9,0.004683003556937816
21003,3836,4,9,0.004683003556937816
21157,3920,4,9,0.004683003556937816
21164,10301,4,9,0.004683003556937816
21175,5855,4,9,0.004683003556937816
21186,8334,4,9,0.004683003556937816
21223,20192,4,9,0.004683003556937816
21236,19152,4,9,0.004683003556937816
21240,32330,4,9,0.004683003556937816
21244,17078,4,9,0.004683003556937816
21251,29480,4,9,0.004683003556937816
21276,3931,4,9,0.004683003556937816
21428,15608,4,9,0.004683003556937816
21432,31818,4,9,0.004683003556937816
21733,31168,4,9,0.004683003556937816
21882,13677,4,9,0.004683003556937816
21998,1794,4,9,0.004683003556937816
22280,24678,4,9,0.004683003556937816
22322,4421,4,9,0.004683003556937816
22349,4438,4,9,0.004683003556937816
22574,9430,4,9,0.004683003556937816
22991,821,4,9,0.004683003556937816
23116,12802,4,9,0.004683003556937816
23418,861,4,9,0.004683003556937816
23793,14993,4,9,0.004683003556937816
24459,23675,4,9,0.004683003556937816
24480,7616,4,9,0.004683003556937816
24502,21438,4,9,0.004683003556937816
24562,31268,4,9,0.004683003556937816
24574,5630,4,9,0.004683003556937816
24797,18688,4,9,0.004683003556937816
25076,6008,4,9,0.004683003556937816
25181,17312,4,9,0.004683003556937816
25297,7578,4,9,0.004683003556937816
25544,25419,4,9,0.004683003556937816
25662,7481,4,9,0.004683003556937816
25750,11314,4,9,0.004683003556937816
26296,6655,4,9,0.004683003556937816
26517,24149,4,9,0.004683003556937816
27537,31873,4,9,0.004683003556937816
27717,27678,4,9,0.004683003556937816
27728,16555,4,9,0.004683003556937816
28720,36531,4,9,0.004683003556937816
29415,9109,4,9,0.004683003556937816
29551,19977,4,9,0.004683003556937816
29604,18351,4,9,0.004683003556937816
29636,26567,4,9,0.004683003556937816
29669,23319,4,9,0.004683003556937816
29854,15358,4,9,0.004683003556937816
29925,22377,4,9,0.004683003556937816
30332,3441,4,9,0.004683003556937816
30614,13178,4,9,0.004683003556937816
30633,10385,4,9,0.004683003556937816
30772,33223,4,9,0.004683003556937816
31067,18193,4,9,0.004683003556937816
31193,31528,4,9,0.004683003556937816
31636,26820,4,9,0.004683003556937816
31688,28900,4,9,0.004683003556937816
31692,27998,4,9,0.004683003556937816
31696,1380,4,9,0.004683003556937816
31700,14782,4,9,0.004683003556937816
31704,11593,4,9,0.004683003556937816
31977,37652,4,9,0.004683003556937816
32035,37636,4,9,0.004683003556937816
32287,8123,4,9,0.004683003556937816
32427,27417,4,9,0.004683003556937816
32500,12850,4,9,0.004683003556937816
32593,13014,4,9,0.004683003556937816
32700,13232,4,9,0.004683003556937816
32936,23562,4,9,0.004683003556937816
32952,23851,4,9,0.004683003556937816
33060,14320,4,9,0.004683003556937816
33208,23581,4,9,0.004683003556937816
33419,14327,4,9,0.004683003556937816
33617,19101,4,9,0.004683003556937816
34028,17281,4,9,0.004683003556937816
34384,36663,4,9,0.004683003556937816
34427,16577,4,9,0.004683003556937816
34997,11652,4,9,0.004683003556937816
35483,19580,4,9,0.004683003556937816
36223,32787,4,9,0.004683003556937816
833,26706,5,9,0.004683003556937816
3499,422,5,9,0.004683003556937816
4162,18236,5,9,0.004683003556937816
6243,34595,5,9,0.004683003556937816
6641,31372,5,9,0.004683003556937816
6646,7059,5,9,0.004683003556937816
6666,10938,5,9,0.004683003556937816
6705,25470,5,9,0.004683003556937816
6812,20007,5,9,0.004683003556937816
6821,2772,5,9,0.004683003556937816
7343,7401,5,9,0.004683003556937816
8194,3531,5,9,0.004683003556937816
8744,12110,5,9,0.004683003556937816
8850,1148,5,9,0.004683003556937816
9230,4068,5,9,0.004683003556937816
9831,4167,5,9,0.004683003556937816
9840,1669,5,9,0.004683003556937816
10767,3003,5,9,0.004683003556937816
10915,19295,5,9,0.004683003556937816
11157,10843,5,9,0.004683003556937816
12436,23182,5,9,0.004683003556937816
12682,5432,5,9,0.004683003556937816
12781,24109,5,9,0.004683003556937816
12820,16769,5,9,0.004683003556937816
13271,27277,5,9,0.004683003556937816
13983,17861,5,9,0.004683003556937816
14491,16767,5,9,0.004683003556937816
14606,19467,5,9,0.004683003556937816
14637,2543,5,9,0.004683003556937816
14818,1620,5,9,0.004683003556937816
14935,11483,5,9,0.004683003556937816
15429,1829,5,9,0.004683003556937816
15502,9321,5,9,0.004683003556937816
16854,675,5,9,0.004683003556937816
16875,30692,5,9,0.004683003556937816
17141,12697,5,9,0.004683003556937816
17666,12273,5,9,0.004683003556937816
17670,30853,5,9,0.004683003556937816
18181,2604,5,9,0.004683003556937816
18427,36838,5,9,0.004683003556937816
18475,22303,5,9,0.004683003556937816
18806,2849,5,9,0.004683003556937816
19024,37452,5,9,0.004683003556937816
19064,2949,5,9,0.004683003556937816
19559,22369,5,9,0.004683003556937816
19665,28723,5,9,0.004683003556937816
20626,24342,5,9,0.004683003556937816
20950,27988,5,9,0.004683003556937816
21006,24923,5,9,0.004683003556937816
21180,5975,5,9,0.004683003556937816
21185,11210,5,9,0.004683003556937816
21192,14020,5,9,0.004683003556937816
21197,18251,5,9,0.004683003556937816
21200,24622,5,9,0.004683003556937816
21205,16603,5,9,0.004683003556937816
21209,8572,5,9,0.004683003556937816
21222,22302,5,9,0.004683003556937816
21232,23595,5,9,0.004683003556937816
21233,36120,5,9,0.004683003556937816
21255,15920,5,9,0.004683003556937816
21263,7936,5,9,0.004683003556937816
21386,29604,5,9,0.004683003556937816
21423,37424,5,9,0.004683003556937816
21442,12833,5,9,0.004683003556937816
21550,4039,5,9,0.004683003556937816
21862,15957,5,9,0.004683003556937816
22002,11194,5,9,0.004683003556937816
22044,5340,5,9,0.004683003556937816
22911,23263,5,9,0.004683003556937816
23034,13455,5,9,0.004683003556937816
23270,5026,5,9,0.004683003556937816
23622,9378,5,9,0.004683003556937816
23790,9056,5,9,0.004683003556937816
23932,15537,5,9,0.004683003556937816
24056,20754,5,9,0.004683003556937816
24099,25726,5,9,0.004683003556937816
24160,11904,5,9,0.004683003556937816
24164,14643,5,9,0.004683003556937816
24612,29471,5,9,0.004683003556937816
24750,5747,5,9,0.004683003556937816
24919,20262,5,9,0.004683003556937816
24997,20392,5,9,0.004683003556937816
25541,16157,5,9,0.004683003556937816
25688,22725,5,9,0.004683003556937816
26663,22778,5,9,0.004683003556937816
26737,36685,5,9,0.004683003556937816
27037,25320,5,9,0.004683003556937816
27720,23444,5,9,0.004683003556937816
27864,7794,5,9,0.004683003556937816
28464,35557,5,9,0.004683003556937816
28729,32416,5,9,0.004683003556937816
28785,28342,5,9,0.004683003556937816
28866,32542,5,9,0.004683003556937816
29118,17729,5,9,0.004683003556937816
29552,10538,5,9,0.004683003556937816
29639,12922,5,9,0.004683003556937816
29886,13157,5,9,0.004683003556937816
30010,22410,5,9,0.004683003556937816
30140,29464,5,9,0.004683003556937816
30152,9969,5,9,0.004683003556937816
30221,17701,5,9,0.004683003556937816
30378,32766,5,9,0.004683003556937816
30718,10486,5,9,0.004683003556937816
30762,15438,5,9,0.004683003556937816
30824,23098,5,9,0.004683003556937816
30827,30352,5,9,0.004683003556937816
30836,15742,5,9,0.004683003556937816
30862,31161,5,9,0.004683003556937816
30923,18676,5,9,0.004683003556937816
31232,26501,5,9,0.004683003556937816
31244,29155,5,9,0.004683003556937816
31292,37519,5,9,0.004683003556937816
31429,34295,5,9,0.004683003556937816
31511,4424,5,9,0.004683003556937816
31703,20015,5,9,0.004683003556937816
32711,15031,5,9,0.004683003556937816
32968,21730,5,9,0.004683003556937816
33089,25094,5,9,0.004683003556937816
33678,4727,5,9,0.004683003556937816
33839,22943,5,9,0.004683003556937816
33893,25827,5,9,0.004683003556937816
34027,15476,5,9,0.004683003556937816
34064,21151,5,9,0.004683003556937816
34341,36152,5,9,0.004683003556937816
34960,30911,5,9,0.004683003556937816
35920,559,5,9,0.004683003556937816
36069,37377,5,9,0.004683003556937816
856,72,6,9,0.004683003556937816
899,15338,6,9,0.004683003556937816
1380,24252,6,9,0.004683003556937816
2873,22586,6,9,0.004683003556937816
3404,404,6,9,0.004683003556937816
3407,37032,6,9,0.004683003556937816
3410,14027,6,9,0.004683003556937816
3653,446,6,9,0.004683003556937816
3784,35272,6,9,0.004683003556937816
3785,34778,6,9,0.004683003556937816
3880,478,6,9,0.004683003556937816
5326,8086,6,9,0.004683003556937816
5520,26874,6,9,0.004683003556937816
5860,35494,6,9,0.004683003556937816
6651,28318,6,9,0.004683003556937816
6793,34253,6,9,0.004683003556937816
6845,14818,6,9,0.004683003556937816
6880,35092,6,9,0.004683003556937816
7306,3738,6,9,0.004683003556937816
7963,4576,6,9,0.004683003556937816
8134,4571,6,9,0.004683003556937816
8476,6785,6,9,0.004683003556937816
9216,9904,6,9,0.004683003556937816
9477,12049,6,9,0.004683003556937816
9848,27513,6,9,0.004683003556937816
10104,1391,6,9,0.004683003556937816
11586,11954,6,9,0.004683003556937816
12120,24410,6,9,0.004683003556937816
12555,23532,6,9,0.004683003556937816
12782,36836,6,9,0.004683003556937816
13182,34996,6,9,0.004683003556937816
13766,8069,6,9,0.004683003556937816
13769,13357,6,9,0.004683003556937816
14006,20072,6,9,0.004683003556937816
14424,27778,6,9,0.004683003556937816
14550,10867,6,9,0.004683003556937816
14595,36554,6,9,0.004683003556937816
14610,14159,6,9,0.004683003556937816
14642,24600,6,9,0.004683003556937816
14654,18077,6,9,0.004683003556937816
14659,8907,6,9,0.004683003556937816
14680,30344,6,9,0.004683003556937816
15416,24110,6,9,0.004683003556937816
15657,1912,6,9,0.004683003556937816
15671,13855,6,9,0.004683003556937816
16085,5163,6,9,0.004683003556937816
16602,34943,6,9,0.004683003556937816
17018,33447,6,9,0.004683003556937816
17151,32360,6,9,0.004683003556937816
17964,23699,6,9,0.004683003556937816
18292,5327,6,9,0.004683003556937816
18680,14393,6,9,0.004683003556937816
19645,19013,6,9,0.004683003556937816
19740,3196,6,9,0.004683003556937816
19789,3471,6,9,0.004683003556937816
19865,31620,6,9,0.004683003556937816
20232,20421,6,9,0.004683003556937816
20424,18590,6,9,0.004683003556937816
20776,18801,6,9,0.004683003556937816
21002,5276,6,9,0.004683003556937816
21162,36438,6,9,0.004683003556937816
21183,18681,6,9,0.004683003556937816
21191,16115,6,9,0.004683003556937816
21207,10860,6,9,0.004683003556937816
21214,17851,6,9,0.004683003556937816
21252,13604,6,9,0.004683003556937816
21262,26405,6,9,0.004683003556937816
21277,4102,6,9,0.004683003556937816
21443,34139,6,9,0.004683003556937816
21445,37370,6,9,0.004683003556937816
21949,7161,6,9,0.004683003556937816
22011,32171,6,9,0.004683003556937816
22228,4374,6,9,0.004683003556937816
22229,18292,6,9,0.004683003556937816
22306,4413,6,9,0.004683003556937816
22372,34305,6,9,0.004683003556937816
22782,19941,6,9,0.004683003556937816
22817,15615,6,9,0.004683003556937816
23012,23294,6,9,0.004683003556937816
23083,7381,6,9,0.004683003556937816
23271,11250,6,9,0.004683003556937816
23604,31460,6,9,0.004683003556937816
23725,25228,6,9,0.004683003556937816
23792,14721,6,9,0.004683003556937816
23834,25417,6,9,0.004683003556937816
24500,32252,6,9,0.004683003556937816
24541,28151,6,9,0.004683003556937816
24754,26796,6,9,0.004683003556937816
25063,6002,6,9,0.004683003556937816
25530,34343,6,9,0.004683003556937816
25531,21183,6,9,0.004683003556937816
25540,11856,6,9,0.004683003556937816
25917,7281,6,9,0.004683003556937816
26164,30315,6,9,0.004683003556937816
26295,21177,6,9,0.004683003556937816
26313,20158,6,9,0.004683003556937816
26642,5156,6,9,0.004683003556937816
27117,7214,6,9,0.004683003556937816
27233,24266,6,9,0.004683003556937816
27546,4814,6,9,0.004683003556937816
27610,10866,6,9,0.004683003556937816
27724,37186,6,9,0.004683003556937816
27725,12429,6,9,0.004683003556937816
28191,26127,6,9,0.004683003556937816
28254,18176,6,9,0.004683003556937816
28334,8281,6,9,0.004683003556937816
28718,30427,6,9,0.004683003556937816
28828,15800,6,9,0.004683003556937816
28883,32694,6,9,0.004683003556937816
30613,10358,6,9,0.004683003556937816
30854,18240,6,9,0.004683003556937816
30859,18078,6,9,0.004683003556937816
32192,15556,6,9,0.004683003556937816
32844,21941,6,9,0.004683003556937816
34895,35884,6,9,0.004683003556937816
34896,35679,6,9,0.004683003556937816
1111,28427,7,9,0.004683003556937816
1248,29075,7,9,0.004683003556937816
1874,19631,7,9,0.004683003556937816
1988,19006,7,9,0.004683003556937816
